"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"564",564,0,3,3,0,5,53,0,1
"565",565,0,3,4,1,1,27,1,0
"566",566,0,2,3,0,4,37,0,1
"567",567,1,6,3,1,4,31,0,0
"568",568,1,5,3,1,5,43,0,0
"569",569,1,3,3,0,5,20,0,0
"570",570,0,2,4,0,5,32,0,0
"571",571,0,2,3,0,5,56,0,1
"572",572,1,4,5,1,5,42,0,1
"573",573,1,3,4,0,1,44,0,1
"574",574,1,5,2,0,2,24,0,1
"575",575,1,4,5,1,5,34,1,0
"576",576,0,2,1,1,4,21,0,1
"577",577,1,3,3,0,5,50,1,0
"578",578,1,2,3,0,4,66,0,0
"579",579,0,5,3,1,5,28,0,1
"580",580,0,2,2,0,5,47,0,1
"581",581,1,5,2,1,3,27,0,0
"582",582,0,1,NA,0,5,25,0,0
"583",583,1,4,1,0,4,19,0,1
"584",584,0,2,4,0,3,58,0,1
"585",585,1,2,3,1,5,38,0,0
"586",586,0,5,5,1,5,36,1,0
"587",587,1,3,1,1,5,19,0,1
"588",588,0,2,2,0,2,57,0,1
"589",589,1,2,4,1,3,71,0,0
"590",590,1,3,NA,0,5,23,0,0
"591",591,1,3,3,0,5,61,0,1
"592",592,1,3,1,1,5,48,0,1
"593",593,1,5,2,1,2,33,0,1
"594",594,0,2,1,0,5,30,0,1
"595",595,0,1,4,1,2,29,0,1
"596",596,1,1,3,1,3,61,1,0
"597",597,1,3,1,0,2,38,0,1
"598",598,1,2,4,1,2,67,0,1
"599",599,1,2,NA,1,5,37,1,0
"600",600,1,2,2,0,5,69,0,1
"601",601,1,3,4,1,3,38,0,0
"602",602,1,5,2,1,4,40,0,1
"603",603,1,4,3,0,1,35,0,0
"604",604,1,3,2,1,5,19,0,1
"605",605,0,3,3,1,5,55,0,1
"606",606,1,4,NA,0,3,43,0,1
"607",607,1,5,2,1,1,28,0,0
"608",608,1,4,3,1,5,27,0,0
"609",609,0,4,3,0,5,63,1,0
"610",610,0,2,5,1,2,27,1,0
"611",611,0,1,5,0,4,38,1,0
"612",612,0,4,5,1,5,74,1,0
"613",613,1,4,NA,0,5,45,0,0
"614",614,0,6,1,1,4,63,0,1
"615",615,1,4,4,1,5,59,1,0
"616",616,0,6,3,1,4,41,1,0
"617",617,1,4,5,0,5,70,0,0
"618",618,1,5,2,1,5,36,0,1
"619",619,0,5,3,0,5,50,0,1
"620",620,0,6,5,0,5,42,0,1
"621",621,0,2,1,1,5,19,0,1
"622",622,0,2,2,0,4,28,0,1
"623",623,0,5,4,0,4,53,1,0
"624",624,1,5,5,1,5,44,1,0
"625",625,0,1,1,0,5,60,0,1
"626",626,0,6,3,0,5,39,0,0
"627",627,1,3,3,1,4,58,0,0
"628",628,1,5,4,1,4,28,0,0
"629",629,1,5,1,1,5,53,0,1
"630",630,0,4,4,0,5,61,1,0
"631",631,1,2,3,0,5,56,1,0
"632",632,0,2,5,1,5,28,1,0
"633",633,0,5,1,1,5,35,0,1
"634",634,1,6,3,0,5,38,0,1
"635",635,0,2,3,1,4,41,0,1
"636",636,0,2,4,1,4,70,1,0
"637",637,1,3,2,1,5,19,0,1
"638",638,0,2,4,1,5,33,1,0
"639",639,1,2,3,1,4,28,0,1
"640",640,0,2,3,1,5,72,0,1
"641",641,1,6,3,1,4,58,0,1
"642",642,1,5,1,0,5,34,0,0
"643",643,1,5,2,1,4,71,0,1
"644",644,1,4,3,1,5,38,0,1
"645",645,0,3,3,0,5,66,0,1
"646",646,0,1,1,1,5,18,0,1
"647",647,1,3,1,1,5,21,0,1
"648",648,0,4,3,0,5,62,0,0
"649",649,0,5,1,1,5,47,0,1
"650",650,0,1,NA,1,1,44,0,0
"651",651,0,2,NA,0,1,32,0,0
"652",652,1,3,2,0,3,26,0,0
"653",653,0,2,3,1,3,54,1,0
"654",654,1,2,4,1,4,76,1,0
