"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"63","GNQ","Equatorial Guinea",0,0,1,0,0,1963,1963,NA,18,8.80000019073486,NA,35.5614471435547,1,1,-5,2115.505859375,0,-0.61110258102417,1
"64","GRC","Greece",0,0,0,0,0,1949,1949,0.1,14,6.30000019073486,NA,29.1398010253906,0,1,10,9775.1162109375,50.7741050720215,-0.634814620018005,0
"65","GTM","Guatemala",0,0,0,0,1,1946,1946,0.3,8.2,12.5,NA,23.3624610900879,1,1,6.63636350631714,1635.64904785156,9.69572925567627,-0.723089337348938,0
"66","GUY","Guyana",0,0,0,0,1,1953,1953,0.2,30.8,20,NA,34.6691627502441,1,1,6,902.55322265625,0,-0.480024755001068,1
"67","HND","Honduras",0,0,0,0,1,1955,1955,0.1,5.5,7.80000019073486,NA,29.2857685089111,1,1,6.45454549789429,921.83349609375,0,-0.719900250434875,0
"68","HRV","Croatia",1,0,0,0,0,1945,1945,0.3,21.7,7.90000009536743,NA,36.247184753418,1,1,0.272727280855179,3889.3330078125,0,-0.644815802574158,1
"69","HTI","Haiti",0,0,0,0,1,1950,1950,0.3,3.6,3.59999990463257,NA,27.197847366333,NA,0,2,498.923126220703,0,-0.722807288169861,0
"70","HUN","Hungary",1,0,0,0,0,1918,1918,0.1,9.1,11.3999996185303,NA,42.5230026245117,0,1,10,4262.54052734375,126.817184448242,-0.717578947544098,0
"71","IDN","Indonesia",0,0,0,1,0,1945,1945,0.1,11.3,12.6000003814697,NA,21.8119430541992,1,1,-0.454545468091965,818.392211914062,144.51530456543,0.814851820468903,0
"72","IND","India",0,0,0,0,0,1950,1950,NA,8.3,7.19999980926514,NA,32.0805702209473,0,1,8.81818199157715,418.927795410156,18.0271110534668,-0.381965845823288,0
"73","IRL","Ireland",0,0,0,0,0,1918,1918,0.2,13.3,13.8999996185303,NA,33.4290924072266,0,1,10,21169.017578125,47.6600761413574,-0.716884732246399,0
"74","IRN","Iran",0,1,0,0,0,1963,1963,0.1,4.1,4,NA,23.6223583221436,NA,NA,-0.272727280855179,1478.09069824219,745.052551269531,1.97691488265991,0
"75","IRQ","Iraq",0,1,0,0,0,1980,1980,0.2,7.6,11,2.48000001907349,19.0960502624512,NA,NA,-9,NA,1802.34802246094,1.97476696968079,0
"76","ISL","Iceland",0,0,0,0,0,1915,1915,0.3,30.2,25.3999996185303,NA,43.541072845459,1,1,10,27572.322265625,0,-0.722199857234955,1
"77","ISR","Israel",0,0,0,0,0,1948,1948,0.2,15,7.5,NA,40.4142799377441,1,1,9.45454502105713,17193.373046875,4.48286151885986,-0.357624679803848,0
"78","ITA","Italy",0,0,0,0,0,1945,1945,0.1,11.5,11.1000003814697,NA,36.0293197631836,1,1,10,17850.2109375,33.902759552002,-0.692348301410675,0
"79","JAM","Jamaica",0,0,0,0,1,1944,1944,0.2,11.7,11.6999998092651,NA,42.0671081542969,NA,0,9,2998.701171875,0,-0.719791769981384,0
"80","JOR","Jordan",0,1,0,0,0,1974,1974,0.1,5.5,1.29999995231628,2.57999992370605,22.4333724975586,NA,0,-2,1729.71020507812,0.328416764736176,1.88822793960571,0
"81","JPN","Japan",0,0,0,0,0,1945,1945,0.1,7.1,4.59999990463257,NA,38.6860160827637,1,1,10,36483.546875,6.71553182601929,-0.719618201255798,0
"82","KAZ","Kazakhstan",1,0,0,0,0,1924,1924,0.2,10.4,13.3999996185303,NA,36.2825393676758,NA,0,-4.18181800842285,1212.0048828125,288.330963134766,0.471428632736206,0
"83","KEN","Kenya",0,0,1,0,0,1919,1919,0.1,7.1,3,NA,39.0653419494629,NA,0,-1.27272725105286,352.712921142578,0,-0.523435354232788,0
"84","KGZ","Kyrgyzstan",1,0,0,0,0,1918,1918,0.1,NA,1.39999997615814,NA,23.6936473846436,NA,1,-3,269.542877197266,9.10073757171631,0.883557975292206,NA
"85","KHM","Cambodia",1,0,0,1,0,1955,1955,0.1,9.8,5.80000019073486,NA,10.974268913269,1,1,0.818181812763214,260.011260986328,0,-0.664254009723663,0
"86","KOR","Korea, Rep. of",0,0,0,1,0,1948,1948,0.1,13,3,NA,34.9904365539551,1,1,7.09090900421143,10100.0185546875,20.6235961914062,-0.719336211681366,0
"87","KWT","Kuwait",0,1,0,0,0,2005,2005,0,0,0,2.24000000953674,4.40000009536743,0,0,-7,17337.244140625,12412.3388671875,1.74734425544739,0
"88","LAO","Lao People's Dem. Rep.",1,0,0,1,0,1958,1958,0,22.9,9.39999961853027,NA,46.7071723937988,NA,NA,-7,304.4453125,0.000610508606769145,-0.711656391620636,1
"89","LBN","Lebanon",0,1,0,0,0,1952,1952,0.1,2.3,2.29999995231628,2.85999989509583,28.8872814178467,0,0,-5.73000001907349,3834.29272460938,0,0.557599008083344,0
"90","LBR","Liberia",0,0,1,0,0,NA,NA,0.1,5.3,5.69999980926514,NA,39.6895141601562,NA,NA,0,110.998374938965,0,-0.255595713853836,0
"91","LBY","Libya",0,1,0,0,0,1964,1964,NA,NA,NA,1.94000005722046,22.3699226379395,NA,NA,-7,6831.79296875,5177.89306640625,1.9797568321228,NA
"92","LKA","Sri Lanka",0,0,0,0,0,1931,1931,0.1,4.9,5.30000019073486,NA,19.2275581359863,0,1,5.27272748947144,808.719909667969,0,-0.469351083040237,0
"93","LSO","Lesotho",0,0,1,0,0,1965,1965,0.3,11.7,4.59999990463257,NA,37.1169357299805,1,1,6.18181800842285,486.443267822266,0,-0.721961259841919,0
"94","LTU","Lithuania",1,0,0,0,0,1921,1921,0.2,22,17.5,NA,40.3846588134766,1,1,10,3099.2705078125,0,-0.717817604541779,1
"95","LUX","Luxembourg",0,0,0,0,0,1919,1919,0.1,23.3,20,NA,37.036003112793,0,1,10,39568.0703125,0,-0.694496035575867,1
"96","LVA","Latvia",1,0,0,0,0,1918,1918,0.2,21,9,NA,42.6247978210449,0,1,8,2986.96166992188,0,-0.713825821876526,1
